Date,Forecasted_GDP,Lower_CI,Upper_CI
2025-06-30,48925713651.017044,36709171824.91745,61142255477.11664
2025-09-30,49853161254.861305,23994646198.240303,75711676311.4823
2025-12-31,50780608858.70554,8675980051.43789,92885237665.9732
2026-03-31,51708063466.35362,-8951229571.297455,112367356504.0047
2026-06-30,53044938424.51731,-26994146207.809715,133084023056.84433
2026-09-30,54381815419.04516,-46266365823.114494,155029996661.2048
2026-12-31,55718692413.573006,-66792349823.25886,178229734650.40488
2027-03-31,57055572100.528854,-88542348524.96928,202653492726.02698
2027-06-30,58630354769.264175,-114836033679.04063,232096743217.56897
2027-09-30,60205130102.2529,-144666827222.093,265077087426.5988
2027-12-31,61779905435.24162,-177507397730.04333,301067208600.52655
2028-03-31,63354686114.639244,-213008217831.1049,339717590060.38336
2028-06-30,65272951807.46982,-251271925796.20944,381817829411.14905
2028-09-30,67191215933.80331,-292227610976.30096,426610042843.90753
2028-12-31,69109480060.1368,-335636082544.4759,473855042664.74945
2029-03-31,71027747899.15137,-381316931622.22614,523372427420.5289
2029-06-30,73224506952.4856,-430922259400.5529,577371273305.5242
2029-09-30,75421260887.90932,-484046231700.0399,634888753475.8585
2029-12-31,77618014823.33304,-540367143534.5752,695603173181.2412
2030-03-31,79814773477.12201,-599643159933.7742,759272706888.0183
2030-06-30,82330031989.28708,-662464837466.8871,827124901445.4613
2030-09-30,84845287569.70766,-728702746461.6722,898393321601.0875
2030-12-31,87360543150.12823,-798109412366.5288,972830498666.7852
2031-03-31,89875802829.8387,-870488064234.7657,1050239669894.4432
